
2025/03/26 (00:31:28) | ===> btop++ v.1.4.0
2025/03/26 (00:31:28) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/26 (00:31:28) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/25 (19:48:29) | ===> btop++ v.1.4.0
2025/03/25 (19:48:29) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/25 (19:48:29) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/25 (20:19:13) | ===> btop++ v.1.4.0
2025/03/25 (20:19:13) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/25 (20:19:13) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/25 (21:09:53) | ===> btop++ v.1.4.0
2025/03/25 (21:09:53) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/25 (21:09:53) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/25 (22:05:19) | ===> btop++ v.1.4.0
2025/03/25 (22:05:19) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/25 (22:05:19) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/26 (00:00:03) | ===> btop++ v.1.4.0
2025/03/26 (00:00:03) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/26 (00:00:03) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/26 (01:04:45) | ===> btop++ v.1.4.0
2025/03/26 (01:04:45) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/26 (01:04:45) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/26 (01:06:05) | ===> btop++ v.1.4.0
2025/03/26 (01:06:05) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/26 (01:06:05) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/26 (22:19:21) | ===> btop++ v.1.4.0
2025/03/26 (22:19:21) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/26 (22:19:21) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/28 (11:25:31) | ===> btop++ v.1.4.0
2025/03/28 (11:25:31) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/28 (11:25:31) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/28 (11:33:46) | ===> btop++ v.1.4.0
2025/03/28 (11:33:46) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/28 (11:33:46) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/28 (15:41:51) | ===> btop++ v.1.4.0
2025/03/28 (15:41:51) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/28 (15:41:51) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/28 (15:51:17) | ===> btop++ v.1.4.0
2025/03/28 (15:51:17) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/28 (15:51:17) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/28 (15:57:55) | ===> btop++ v.1.4.0
2025/03/28 (15:57:55) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/28 (15:57:55) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/28 (15:58:14) | ===> btop++ v.1.4.0
2025/03/28 (15:58:14) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/28 (15:58:14) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/28 (16:28:22) | ===> btop++ v.1.4.0
2025/03/28 (16:28:22) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/28 (16:28:22) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/29 (16:40:32) | ===> btop++ v.1.4.0
2025/03/29 (16:40:32) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/29 (16:40:32) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/29 (16:46:24) | ===> btop++ v.1.4.0
2025/03/29 (16:46:24) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/29 (16:46:24) | WARNING: ROCm SMI: Failed to get PCIe throughput

